Acc Time(ms),ACC X,ACC Y,ACC Z,Gyro Time(ms),Gyro X,Gyro Y,Gyro Z,Velocity Time(ms),Vel N,Vel S,Vel SQRT,Base time
0.0,-0.084936522,0.110806279,9.778616905,9.0,-0.483040583,-0.166214308,-0.219310144,99.0,0.0,0.0,0.0,1714019158369.0
11.0,-0.06669312,0.136676028,9.7056427,19.0,0.119101717,0.058257732,0.021198893,149.0,0.0,0.0,0.0,
21.0,-0.106320195,0.070431523,9.830954552,29.0,0.185173205,-0.043953415,0.059791609,199.0,0.0,0.0,0.0,
31.0,-0.110955812,0.037384033,9.88897419,39.0,-0.218559063,0.142844682,0.009483371,249.0,0.0,0.0,0.0,
41.0,-0.086132817,0.098245241,9.757232666,49.0,-0.113295016,0.036819002,-0.092745131,299.0,0.0,0.0,0.0,
51.0,-0.077459715,0.12411499,9.737195015,60.0,0.162217713,0.113372349,-0.097276988,349.0,0.0,0.0,0.0,
61.0,-0.104974367,0.067141727,9.841422081,70.0,-0.033827712,-0.066257864,-0.037654886,399.0,0.0,0.0,0.0,
71.0,-0.10108643,0.077459715,9.831702232,80.0,-0.194334917,-0.041126633,-0.008739481,449.0,0.0,0.0,0.0,
81.0,-0.093011476,0.12351685,9.749008179,90.0,-0.105092065,-0.060051397,0.056903226,499.0,0.0,0.0,0.0,
91.0,-0.095404051,0.106021121,9.78385067,100.0,0.211237874,-0.117149777,0.000613556,549.0,0.0,0.0,0.0,
101.0,-0.099740602,0.052786257,9.850543022,110.0,-0.041680109,0.095962197,0.067112585,599.0,0.0,0.0,0.0,
111.0,-0.090768434,0.084188841,9.819140434,120.0,-0.119881426,-0.07510408,-0.007777544,649.0,0.0,0.0,0.0,
121.0,-0.084936522,0.110058598,9.776373863,130.0,-0.094386197,0.036502372,0.04341399,699.0,0.0,0.0,0.0,
131.0,-0.095404051,0.088076785,9.795214653,140.0,0.023472692,-0.005535588,0.066775184,749.0,0.0,0.0,0.0,
141.0,-0.107366942,0.065646365,9.823178291,150.0,-0.079943309,-0.036022438,-0.111475584,799.0,0.0,0.0,0.0,
151.0,-0.085235596,0.094656371,9.815402031,160.0,0.00860345,-0.051143896,-0.008631345,849.0,0.0,0.0,0.0,
161.0,-0.083441161,0.104974367,9.773531914,170.0,0.060166896,-0.082825155,-0.092577284,899.0,0.0,0.0,0.0,
171.0,-0.083889775,0.080749512,9.804186821,180.0,0.201264944,0.029143834,0.084592507,949.0,0.0,0.0,0.0,
181.0,-0.095852666,0.095703125,9.825720787,190.0,-0.119944659,0.101596369,-0.158780234,999.0,0.0,0.0,0.0,
191.0,-0.10093689,0.098992921,9.796261787,200.0,-0.123316851,0.026309502,-0.072156093,1049.0,0.0,0.0,0.0,
201.0,-0.087777711,0.089572147,9.781308174,210.0,-0.143480503,0.049338925,0.008986341,1099.0,0.0,0.0,0.0,
211.0,-0.077310182,0.069982909,9.809570312,220.0,-0.009172624,-0.088646297,0.062544683,1149.0,0.0,0.0,0.0,
222.0,-0.090020753,0.076412968,9.816598892,230.0,-0.031248489,-0.034347991,-0.070772473,1199.0,0.0,0.0,0.0,
232.0,-0.059365846,0.086431883,9.783700943,240.0,-0.045820644,-0.112106776,-0.021135634,1249.0,0.0,0.0,0.0,
242.0,-0.085385136,0.08628235,9.785644531,250.0,0.037600191,0.049338809,0.038682736,1299.0,0.0,0.0,0.0,
252.0,-0.092562869,0.086132817,9.81854248,260.0,0.146624258,-0.004387386,0.143373288,1349.0,0.0,0.0,0.0,
262.0,-0.081646733,0.094955444,9.798205376,271.0,-0.098301417,0.052852147,-0.087343952,1399.0,0.0,0.0,0.0,
272.0,-0.093161009,0.089273073,9.78100872,281.0,-0.002323652,-0.17349673,-0.103945514,1449.0,0.0,0.0,0.0,
282.0,-0.084637456,0.084188841,9.79581356,291.0,-0.09263356,-0.037743098,-0.088300912,1499.0,0.0,0.0,0.0,
292.0,-0.091516115,0.081646733,9.799551964,301.0,0.01347607,0.02349042,0.010087763,1549.0,0.0,0.0,0.0,
302.0,-0.10168457,0.093011476,9.795214653,311.0,-0.203078199,0.096553422,0.017200457,1599.0,0.0,0.0,0.0,
312.0,-0.097647093,0.106021121,9.785644531,321.0,-0.02618305,0.058604811,-0.035732281,1649.0,0.0,0.0,0.0,
322.0,-0.087329105,0.08269348,9.79581356,331.0,-0.053901959,0.079043925,0.007292001,1699.0,0.0,0.0,0.0,
332.0,-0.092861943,0.087329105,9.815103531,341.0,-0.097725199,-0.089199482,-0.06833056,1749.0,0.0,0.0,0.0,
342.0,-0.099291995,0.087927245,9.807776451,351.0,-0.127689853,-0.059681419,-0.016680496,1799.0,0.0,0.0,0.0,
352.0,-0.09046936,0.067739867,9.796859741,361.0,-0.102421301,0.13738584,-0.012545363,1849.0,0.0,0.0,0.0,
362.0,-0.092114262,0.095703125,9.810617447,371.0,0.090092036,0.058593351,0.027138796,1899.0,0.0,0.0,0.0,
372.0,-0.090768434,0.077011108,9.813308716,381.0,-0.103404635,0.148086145,-0.087012208,1949.0,0.0,0.0,0.0,
382.0,-0.084786989,0.094207764,9.790728569,391.0,0.031561637,-0.029789166,0.00310827,1999.0,0.0,0.0,0.0,
392.0,-0.092712402,0.092861943,9.81046772,401.0,0.068564187,0.074397849,-0.000279184,2049.0,0.0,0.0,0.0,
402.0,-0.090768434,0.087478638,9.803290367,411.0,-0.024238874,0.039660991,-0.093629627,2099.0,0.0,0.0,0.0,
412.0,-0.103179932,0.092861943,9.797906876,421.0,-0.076866442,0.019671977,0.030256471,2149.0,0.0,0.0,0.0,
422.0,-0.087329105,0.07865601,9.798804283,431.0,0.012589533,0.134837713,0.049655902,2199.0,0.0,0.0,0.0,
433.0,-0.082394414,0.088076785,9.803888321,441.0,-0.112196849,-0.098637016,0.068164808,2249.0,0.0,0.0,0.0,
443.0,-0.087478638,0.094357304,9.796710014,451.0,-0.107236718,0.093432892,-0.130867358,2299.0,0.0,0.0,0.0,
453.0,-0.097348027,0.084338382,9.809869766,461.0,-0.096662385,-0.155987273,0.017722727,2349.0,0.0,0.0,0.0,
463.0,-0.082843021,0.07790833,9.811813354,471.0,-0.11473197,-0.026947508,-0.02076639,2399.0,0.0,0.0,0.0,
473.0,-0.091067508,0.08972168,9.794766426,482.0,0.008681117,-0.016266356,-0.039717803,2449.0,0.0,0.0,0.0,
483.0,-0.092861943,0.07790833,9.786242485,492.0,0.13531061,0.118449674,0.018657369,2499.0,0.0,0.0,0.0,
493.0,-0.102581792,0.090020753,9.790430069,502.0,0.014537311,0.151210303,0.030635506,2549.0,0.0,0.0,0.0,
503.0,-0.088375859,0.07925415,9.797159195,512.0,-0.049445901,0.07964278,-0.054714244,2599.0,0.0,0.0,0.0,
513.0,-0.08972168,0.084188841,9.79147625,522.0,-0.008094601,0.076789389,-0.025035898,2649.0,0.0,0.0,0.0,
523.0,-0.081497192,0.084637456,9.79506588,532.0,0.124594096,0.027717565,0.018726084,2699.0,0.0,0.0,0.0,
533.0,-0.08987122,0.084786989,9.80314064,542.0,0.147070275,0.086494421,0.180255629,2749.0,0.0,0.0,0.0,
543.0,-0.095852666,0.07147827,9.80343914,552.0,0.002642323,0.088355534,-0.077407668,2799.0,0.0,0.0,0.0,
